codigo,producto_id,nombre_bm,cantidad,importe,unidad_pdf,coste_unitario,proveedor,lotes
C00000053,p30,BROWNIE NUECES,4.0,106.96,UD,26.74,DISTRIBUCIONES VIERA SL,1
C00000056,p31,PECHUGA POLLO B/2 KG,30.7,134.73,KG,4.388599,CANARY MEAT AND FISH S.A.,3
C00000057,p32,SALMON AHUMADO PRECORT 3%,7.42,153.97,KG,20.750674,CANARY MEAT AND FISH S.A.,2
C00000058,p33,CHORIZO IBERICO CULAR BELL CARRASCO,5.374,153.02,KG,28.474135,PROVEEDORES VARIOS,1
C00000059,p34,SALCHICHON IBERICO CULAR BELL CARRASCO,5.955,103.41,KG,17.365239,ROPER  FRIMANCHA CANARIAS,1
C00000061,p36,LANGOSTINOS Nº 2 SALVAJE,8.0,30.0,KG,3.75,CANARY MEAT AND FISH S.A.,1
C00000062,p37,QUESO CANARIO SEMICURADO AL GOFIO,8.63,70.89,KG,8.214368,QUESO FLOR VALSEQUILLO,38
C00000064,p38,QUESO FRESCO VALSEQUILLO,18.792,141.67,KG,7.538846,QUESO FLOR VALSEQUILLO,22
C00000065,p39,DORADA 400/600 KG,20.364,195.81,KG,9.615498,PROVEEDORES VARIOS,1
C00000067,p40,GOFRE BELGA 24UN,100.0,90.0,UD,0.9,DISTRIBUCIONES VIERA SL,1
C00000068,p41,SALSA SETAS,3.0,4.59,UD,1.53,PROVEEDORES VARIOS,0
C00000069,p42,PASTRAMI PIEZA,30.0,58.05,UD,1.935,SMOKEHOUSE CANARIAS SLU,1
C0000007,p43,MAYONESA BOCA ABAJO,4.0,12.81,UD,3.2025,COMESA LANZAROTE SLU,1
C00000070,p44,QUESO CHEDAR NARANJA,6.2,43.04,KG,6.941935,QUESO FLOR VALSEQUILLO,8
C00000071,p45,QUESO GRANA PADANO,7.0,27.41,KG,3.915714,MERCADONA SA,1
C00000072,p46,HUEVO LIQUIDO REFRIGERADO GR5L,176.0,700.44,LT,3.979773,QUESO FLOR VALSEQUILLO,1
C00000079,p47,QUESO SEMICURADO AHUMADO,6.0,50.63,KG,8.438333,QUESO FLOR VALSEQUILLO,0
C00000080,p48,HUEVO CASCARA,3530.0,1083.9,UD,0.307054,HORTOFRUTICOLA ALTAVISTA,57
C00000082,b04,QUESO KRONOS CANARIO SEMICURADO AL PIMENTON,1.06,8.75,KG,8.254717,QUESO FLOR VALSEQUILLO,38
C00000083,p49,QUESO RULO DE CABRA 1KG,24.0,62.2,KG,2.591667,MERCADONA SA,1
C00000086,p50,G.A.T,1.0,3.0,UD,3.0,FRONERI IBERIA SLU,1
C00000087,p51,TOMATE ENSALADA,65.4,186.12,KG,2.845872,HORTOFRUTICOLA ALTAVISTA,32
C00000088,p52,TOMATE CHERRY ENSALADA,35.1,159.89,KG,4.555271,HORTOFRUTICOLA ALTAVISTA,1
C00000091,p54,ZANAHORIA,12.9,20.07,KG,1.555814,HORTOFRUTICOLA ALTAVISTA,1
C00000092,p55,PEPINO,4.6,8.67,KG,1.884783,HORTOFRUTICOLA ALTAVISTA,1
C00000093,p56,PIMIENTO ROJO,10.08,31.47,KG,3.122024,HORTOFRUTICOLA ALTAVISTA,1
C00000094,p57,PIMIENTO VERDE,9.56,25.24,KG,2.640167,HORTOFRUTICOLA ALTAVISTA,1
C00000095,b05,AGUACATE HASS,13.5,61.12,KG,4.527407,HORTOFRUTICOLA ALTAVISTA,1
C00000096,p58,CEBOLLA ROJA,9.8,17.28,KG,1.763265,HORTOFRUTICOLA ALTAVISTA,1
C00000097,p59,CEBOLLA,16.7,29.33,KG,1.756287,HORTOFRUTICOLA ALTAVISTA,1
C00000099,p60,LECHUGA LOLLO ROSA,39.0,50.85,UD,1.303846,HORTOFRUTICOLA ALTAVISTA,1
C00000100,p61,LECHUGA HOJA DE ROBLE,41.0,52.89,UD,1.29,HORTOFRUTICOLA ALTAVISTA,1
C00000102,p62,FIAMBRE CARNE DE CERDO TULIP,2.0,7.1,UD,3.55,PROVEEDORES VARIOS,0
C00000104,p63,AJO MORADO,1.0,4.32,KG,4.32,HORTOFRUTICOLA ALTAVISTA,1
C00000105,p64,PEREJIL,13.0,7.7,UD,0.592308,HORTOFRUTICOLA ALTAVISTA,1
C00000107,p66,PLATANO,35.6,54.3,UD,1.525281,HORTOFRUTICOLA ALTAVISTA,35
C00000110,b06,NARANJA ZUMO,1936.0,2951.75,KG,1.524664,HORTOFRUTICOLA ALTAVISTA,1
C00000111,p67,LIMA,18.4,75.15,KG,4.084239,HORTOFRUTICOLA ALTAVISTA,18
C00000112,p68,PIÑA TROPICAL,55.3,406.13,KG,7.344123,HORTOFRUTICOLA ALTAVISTA,28
C00000113,p69,MELON VERDE,63.3,236.64,KG,3.738389,HORTOFRUTICOLA ALTAVISTA,1
C00000114,p70,PAPAYA,51.8,139.7,KG,2.696911,HORTOFRUTICOLA ALTAVISTA,1
C00000115,p71,KIWI,69.65,213.36,KG,3.063317,HORTOFRUTICOLA ALTAVISTA,1
C00000116,p72,LIMON,21.15,54.71,KG,2.586761,HORTOFRUTICOLA ALTAVISTA,1
C00000117,p73,CILANTRO,13.0,9.15,UD,0.703846,HORTOFRUTICOLA ALTAVISTA,1
C00000118,p74,LECHUGA BATAVIA,6.0,7.5,UD,1.25,HORTOFRUTICOLA ALTAVISTA,0
C00000119,p75,HIERBA HUERTO,18.0,13.65,UD,0.758333,HORTOFRUTICOLA ALTAVISTA,1
C00000120,p76,UVA NEGRA,16.3,68.36,KG,4.193865,HORTOFRUTICOLA ALTAVISTA,1
