producto_id,codigo,nombre,unidad,stock,motivo,en_compras_pdf,categoria
p359,C00001353,HIGOS PREMIUN CAJA 5KG,Kg,0,sin_lotes,Si,106
b21,C00000294,JACK DANIELS WHISKY 1L,Ud,0,sin_lotes,No,104
p243,C00000600,JAGERMEISTER 35º 1L,Ud,0,sin_lotes,No,104
p263,C00000750,JALAPEÑOS EN RODAJA 3LTR,Ud,0,sin_lotes,No,101
p283,C00001143,JAMOCINTOS DE POLLO,Kg,0,sin_lotes,No,101
p351,C00001279,KAKI,Kg,0,sin_lotes,Si,106
p352,C00001299,KETCHUP 2KG SERHOS,Ud,0,sin_lotes,No,105
p384,C00001434,LASAÑA BOLOÑESA,Kg,0,sin_lotes,No,101
p219,C00000532,LAUREL HOJA 120GRS,Ud,0,sin_lotes,No,105
p74,C00000118,LECHUGA BATAVIA,Ud,0,sin_lotes,Si,105
b15,C00000287,LICOR RUAVIEJA HIERBAS 30º 70CL,Ud,0,sin_lotes,No,104
p227,C00000541,LINGUINE,Ud,0,sin_lotes,No,101
p35,C00000060,LOMO SALMON S/P 2X125GR,Ud,0,sin_lotes,No,105
p180,C00000365,MANDARINAS,Kg,0,sin_lotes,Si,106
p308,C00001214,MANGA,Kg,0,sin_lotes,No,106
p79,C00000124,MANZANA RED CHIEF,Kg,0,sin_lotes,No,106
p244,C00000601,MARIA BRIZARD 25º 1L,Ud,0,sin_lotes,No,104
p190,C00000470,MELOCOTON,Kg,0,sin_lotes,No,106
p331,C00001250,MILLO COCIDO,Kg,0,sin_lotes,No,105
p355,C00001341,MINI BERLINA CACAO,Ud,0,sin_lotes,No,102
p404,C00001519,MINI BERRIBERLYS 55GRS 65UND,Ud,0,sin_lotes,No,102
p314,C00001221,MINI HOOPS AZUCAR 35GRS 80UND,Ud,0,sin_lotes,Si,102
p65,C00000106,MORA,Ud,0,sin_lotes,No,105
p225,C00000538,MOSTAZA DIJON 215GRS,Ud,0,sin_lotes,No,105
p329,C00001247,MOZZ BUFALA ZANETTI 125G,Kg,0,sin_lotes,No,106
p200,C00000509,MUESLI FRUTOS ROJOS S/G,Ud,0,sin_lotes,Si,106
b75,C00001301,NATA KRONA ORIC BRICK 1L,Ud,0,sin_lotes,No,105
b76,C00001302,NATA KRONA PASTELERIA 1L,Ud,0,sin_lotes,Si,105
p287,C00001148,NATA VEGETAL S/AZUCAR 35% MG BRIK 1L,L,0,sin_lotes,No,105
p391,C00001448,NECTAR 10 FRUTAS,Ud,0,sin_lotes,No,106
p172,C00000353,NECTARINA,Kg,0,sin_lotes,Si,106
p217,C00000530,OREGANO BOTE 160GRS,Ud,0,sin_lotes,No,105
p302,C00001204,OREJONES DE ALBARICOQUE BOLSA 1KG,Kg,0,sin_lotes,No,106
p390,C00001445,ORO BAILEN HOJIBLANCA 250ML,Ud,0,sin_lotes,No,105
p28,C00000049,PAN PERRITO,Ud,0,sin_lotes,Si,102
b67,C00001213,PARAGUAYO,Kg,0,sin_lotes,No,106
p322,C00001237,PASSION CARROT CAKE 16 PORCIONES,Ud,0,sin_lotes,No,106
p402,C00001514,PATA ASADA,Kg,0,sin_lotes,Si,106
p393,C00001451,PATE IBERICO A LA PIMIENTA 23GRS,Ud,0,sin_lotes,No,106
p364,C00001360,PECHUGA DE PAVO BRASEADA,Kg,0,sin_lotes,No,106
p363,C00001359,PECHUGA DE POLLO BRASEADA,Kg,0,sin_lotes,No,106
p295,C00001197,PECHUGA PAVO,Kg,0,sin_lotes,Si,106
p280,C00001137,"PEPINILLO VINAGRE EMICELA 4,2KG",Kg,0,sin_lotes,No,105
p401,C00001492,PHILADELPHIA NATURAL,Ud,0,sin_lotes,No,101
p154,C00000322,PIMENTON PICANTE EXTRA 910GRS,Ud,0,sin_lotes,No,105
p220,C00000533,PIMIENTA BLANCA MOLIDA 910GRS,Ud,0,sin_lotes,No,105
p159,C00000327,PIMIENTA NEGRA MOLIDA 1000X2GRS MONODOSIS,Ud,0,sin_lotes,No,105
p120,C00000251,PIMIENTA NEGRA MOLIDA 910GRS,Ud,0,sin_lotes,No,105
p179,C00000363,PIMIENTA ROJA PICANTE CHILE,Kg,0,sin_lotes,No,105
b72,C00001248,PIMIENTO PADRON,Kg,0,sin_lotes,No,105
p410,C00001539,POSTRES HYP,Ud,0,sin_lotes,No,105
p323,C00001238,PULLED PORK NATURAL,Ud,0,sin_lotes,No,
p327,C00001245,QUESO ARTESANO BLANCO,Kg,0,sin_lotes,No,106
p301,C00001203,QUESO CABRA,Kg,0,sin_lotes,No,105
p296,C00001198,QUESO CASTELLANO MEZCLA,Kg,0,sin_lotes,No,106
p326,C00001244,QUESO CURADO VALSEQUILLO,Kg,0,sin_lotes,Si,106
p297,C00001199,QUESO PARMESANO,Kg,0,sin_lotes,Si,106
p171,C00000352,QUESO RALLADO FUNDIR,Kg,0,sin_lotes,No,106
p325,C00001242,QUESO SEMI BLANCO VALSEQUILLO,Kg,0,sin_lotes,Si,
p328,C00001246,QUESO SEMI ROJO,Kg,0,sin_lotes,Si,106
p47,C00000079,QUESO SEMICURADO AHUMADO,Kg,0,sin_lotes,Si,106
b24,C00000301,RON AREHUCAS RVA ESPEC 18 AÑOS,Ud,0,sin_lotes,No,104
b47,C00000575,RON GRAN RESERVA 7 FLOR DE CAÑA 700CC,Ud,0,sin_lotes,No,104
p376,C00001406,SALCHICHA FRANKFURT SELECTA 60 GRS,Kg,0,sin_lotes,Si,105
p383,C00001432,SALMOREJO FRESCO,Ud,0,sin_lotes,Si,101
p224,C00000537,SALSA COCKTAIL,Ud,0,sin_lotes,Si,105
p41,C00000068,SALSA SETAS,Ud,0,sin_lotes,Si,105
p147,C0000031,SALSA TERIYAKI SAKURA 1L,Ud,0,sin_lotes,No,105
p88,C00000138,SAZONADOR NATURAL,Ud,0,sin_lotes,No,105
p374,C00001404,SECRETO IBERICO CEBO DE CAMPO,Kg,0,sin_lotes,Si,105
p133,C00000272,SIROPE FRESA 1.2KG,Ud,0,sin_lotes,No,105
p388,C00001438,SOBRASADA IBERICA,Ud,0,sin_lotes,No,106
p340,C00001260,SOLES CACAO MINI 30GRS 80UD,Ud,0,sin_lotes,Si,102
p396,C00001462,SURTIDO DE CANAPES,Kg,0,sin_lotes,No,105
p166,C00000345,TARTA ZANAHORIA,Ud,0,sin_lotes,Si,105
b48,C00000587,TIRMA AMBROSIA CHOCOLATE - LECHE,Ud,0,sin_lotes,Si,106
p230,C00000547,TOMATE TRITURADO 5KG,Kg,0,sin_lotes,No,105
p218,C00000531,TOMILLO HOJA 310GRS,Ud,0,sin_lotes,No,105
p369,C00001388,TUBO DE POTA LIMPIO,Kg,0,sin_lotes,No,105
p310,C00001216,UVAS DE LA SUERTE ( BOLSA ),Ud,0,sin_lotes,No,106
p411,C00001542,VARIOS ARTICULOS ALIMENTACION,Ud,0,sin_lotes,No,105
b70,C00001230,VINO ALBARIÑO MAR DE FRADES,Ud,0,sin_lotes,No,104
b41,C00000549,VINO BLANCO BRIK 1L,Ud,0,sin_lotes,No,104
b71,C00001243,VINO CEPA 21 TINTO RD,Ud,0,sin_lotes,No,104
b68,C00001226,VODKA ROBERTO CAVALLI 70CL,Ud,0,sin_lotes,No,104
b22,C00000295,WHISKY CARDHU 12 AÑOS,Ud,0,sin_lotes,No,104
p347,C00001272,YORKSHIRE PUDDING 3 INCHES X20,Ud,0,sin_lotes,No,105
b27,C00000336,ZUMO DE TOMATE 850ML,Ud,0,sin_lotes,No,104
